ID,Judgement
b1d-1,A
b1d-2,A
b1d-3,B
b1d-4,A
b1d-5,B
b1d-6,B
b1d-7,A
b1d-8,A
b1d-9,A
b1d-10,B
b1d-11,B
b1d-12,B
b1d-13,A
b1d-14,A
b1d-15,A
b1d-16,A
b1d-17,B
b1d-18,B
b1d-19,A
b1d-20,A
b1d-21,X
b1d-22,B
b1d-23,X
b1d-24,B
b1d-25,A
b1d-26,A
b1d-27,A
b1d-28,A
b1d-29,A
b1d-30,A
b1d-31,B
b1d-32,A
b1d-33,B
b1d-34,A
b1d-35,X
b1d-36,B
b1d-37,X
b1d-38,X
b1d-39,B
b1d-40,B
b1d-41,A
b1d-42,X
b1d-43,A
b1d-44,A
b1d-45,B
b1d-46,A
b1d-47,X
b1d-48,B
b1d-49,A
b1d-50,B
b1d-51,B
b1d-52,A
b1d-53,B
b1d-54,A
b1d-55,A
b1d-56,B
