ID,Judgement
m2d-1,B
m2d-2,A
m2d-3,B
m2d-4,A
m2d-5,A
m2d-6,B
m2d-7,B
m2d-8,A
m2d-9,X
m2d-10,A
m2d-11,B
m2d-12,A
m2d-13,B
m2d-14,B
m2d-15,B
m2d-16,X
m2d-17,X
m2d-18,B
m2d-19,X
m2d-20,X
m2d-21,A
m2d-22,A
m2d-23,B
m2d-24,A
m2d-25,X
m2d-26,B
m2d-27,B
m2d-28,X
m2d-29,A
m2d-30,B
m2d-31,A
m2d-32,A
m2d-33,B
m2d-34,B
m2d-35,A
m2d-36,B
m2d-37,X
m2d-38,B
m2d-39,X
m2d-40,B
m2d-41,B
m2d-42,B
m2d-43,A
m2d-44,B
m2d-45,A
m2d-46,B
m2d-47,A
m2d-48,A
m2d-49,X
m2d-50,B
m2d-51,X
m2d-52,A
m2d-53,A
m2d-54,B
m2d-55,A
m2d-56,X
