ID,Judgement
m2d-1,B
m2d-2,B
m2d-3,B
m2d-4,B
m2d-5,A
m2d-6,B
m2d-7,A
m2d-8,A
m2d-9,X
m2d-10,A
m2d-11,B
m2d-12,A
m2d-13,X
m2d-14,B
m2d-15,B
m2d-16,A
m2d-17,A
m2d-18,A
m2d-19,B
m2d-20,B
m2d-21,B
m2d-22,B
m2d-23,B
m2d-24,B
m2d-25,A
m2d-26,A
m2d-27,A
m2d-28,A
m2d-29,B
m2d-30,X
m2d-31,A
m2d-32,A
m2d-33,B
m2d-34,A
m2d-35,A
m2d-36,A
m2d-37,A
m2d-38,B
m2d-39,B
m2d-40,A
m2d-41,B
m2d-42,A
m2d-43,B
m2d-44,B
m2d-45,X
m2d-46,B
m2d-47,X
m2d-48,B
m2d-49,B
m2d-50,X
m2d-51,A
m2d-52,A
m2d-53,A
m2d-54,B
m2d-55,A
m2d-56,B
