ID,Judgement
b2d-1,B
b2d-2,B
b2d-3,B
b2d-4,B
b2d-5,B
b2d-6,B
b2d-7,A
b2d-8,B
b2d-9,X
b2d-10,A
b2d-11,X
b2d-12,B
b2d-13,B
b2d-14,B
b2d-15,B
b2d-16,X
b2d-17,B
b2d-18,B
b2d-19,B
b2d-20,B
b2d-21,B
b2d-22,B
b2d-23,B
b2d-24,B
b2d-25,B
b2d-26,X
b2d-27,A
b2d-28,X
b2d-29,A
b2d-30,B
b2d-31,A
b2d-32,A
b2d-33,B
b2d-34,A
b2d-35,A
b2d-36,A
b2d-37,A
b2d-38,B
b2d-39,A
b2d-40,A
b2d-41,B
b2d-42,A
b2d-43,X
b2d-44,B
b2d-45,B
b2d-46,B
b2d-47,A
b2d-48,X
b2d-49,B
b2d-50,A
b2d-51,A
b2d-52,B
b2d-53,A
b2d-54,X
b2d-55,A
b2d-56,B
