ID,Judgement
b1d-1,A
b1d-2,A
b1d-3,B
b1d-4,A
b1d-5,B
b1d-6,A
b1d-7,X
b1d-8,A
b1d-9,A
b1d-10,B
b1d-11,B
b1d-12,B
b1d-13,B
b1d-14,B
b1d-15,B
b1d-16,B
b1d-17,A
b1d-18,A
b1d-19,A
b1d-20,A
b1d-21,A
b1d-22,A
b1d-23,A
b1d-24,A
b1d-25,A
b1d-26,B
b1d-27,B
b1d-28,A
b1d-29,B
b1d-30,A
b1d-31,A
b1d-32,B
b1d-33,B
b1d-34,A
b1d-35,A
b1d-36,B
b1d-37,B
b1d-38,B
b1d-39,A
b1d-40,A
b1d-41,B
b1d-42,A
b1d-43,A
b1d-44,A
b1d-45,A
b1d-46,A
b1d-47,B
b1d-48,A
b1d-49,A
b1d-50,A
b1d-51,A
b1d-52,B
b1d-53,B
b1d-54,B
b1d-55,B
b1d-56,A
