Order,Original,文字数,Translation (English)
76,"升级改造后的京杭大运河支线航道老万福河、北大溜航道9月1日起收取通行费。
这两条支流航道采取社会融资方式进行改造建设,收费已获省政府相关部门批准。
老万福河航道流经金乡、鱼台,经南阳湖进入京杭大运河主航道,全长32.5公里。
根据通航需要,老万福河航道采取养护改造的方式,对局部水深进行了浚深,局部急弯进行裁弯取直等,通航条件得以改善。
该航道流经金乡县、任城区,经南阳湖进入京杭大运河主航道,全长19公里。
两条航道的改造工程于2011年2月开工建设,2015年1月完成交工验收,投资建设和运营主体为济宁市安平运河物流服务中心。
按照“贷款建设、收费还贷”的原则,济宁市安平运河物流服务中心依据山东省物价局批复的收费标准征收航道通行费。
其中,基础通行费按1.75元/载重吨计收,里程通行费按0.05元/公里载重吨计收。
通行费征收时间自2016年6月15日起至2019年6月14日止。
记者从济宁市港航局了解到,目前济宁境内共有4条收费航道,分别为洙水河航道、白马河航道、北大溜航道、老万福河航道。
4条航道为京杭大运河的支流航道,均采取社会融资的方式进行升级改造。
洙水河航道升级改造工程是第一个采用“政府+市场”的模式,用于山东省内河港航基础设施建设的项目,政府占主体投资,社会资金补充资金缺口。
白马河、老万福河、北大溜河等支线航道采取的是纯市场化运作的方式。
国家财政拨付的资金不能满足工程建设的需要,制约着航道升级的进度。
社会资金用于公共基础设施的建设符合国家政策的要求,也成为破解资金瓶颈的途径。",657,"Toll collection started on September 1 for the Laowanfu River and Beidaliu navigation channels after their upgrades and reconstruction. These navigation channels are part of the Grand Canal. 
The costs for the upgrades and reconstruction for these two will be covered with social financing, and the costs have been approved by the appropriate departments of the provincial government. 
The Laowanfu River passes through Jinxiang and Yutai before linking with the Grand Canal through Nanyang Lake. Laowanfu River is a total of 32.5 kilometers.
According to navigation requirements, the Laowanfu River waterway will need to adopt a proper maintenance method, deepen the water level, and straighten the channel, to improve the navigation conditions. 
The waterway that goes through Jinxiang County and Rencheng District which then enters the main navigation channel of the Grand Canal via Nanyang Lake is 19 kilometers long.
The work on the two channels started in February 2011 and was completed in January 2015. The principal for the investment and construction was by the Jining City Anping Canal Logistics Service Center.
Based on the “paying off loans with a service fee” principle, the Anping Canal Logistics Service Center of Jining City will collect toll fees subject to the standards approved by the Shandong Provincial Price Bureau.
One of such standard is the base toll calculated at 1.75 yuan/dwt, and a toll mileage of 0.05 yuan/km dwt.
The toll collection period is from June 15, 2016 to June 14th, 2019.
Reporters learned from the Jining City Port and Navigation Bureau that there are currently 4 tolled waterway in Jining consisting of Weishui River, Baima River, Beidake River, and Laowanfu River.
The 4 waterways are tributaries of the Grand Canal and were upgraded via social financing.
The Weishui River upgrade project was the first to feature the collaborative ""Government + Market"" model for waterway improvement in the Shangdong Province. The Government funded most of it while social funding was used to cover the balance.
Baima River, Laowanfu River and Beidake River projects were done purely for the interest of the market.
The budget allocated from the state finance is not enough to cover the cost of the project construction, and would impede on the upgrade progress of the channels.
The use of social funding for the construction of public infrastructure meets the requirements of national policies and has also become a way to overcome funding issues."
40,"哈米尔又说，另有34人受伤送医，包括3名消防人员受了轻伤，他们已经出院。
由于有些住户仍下落不明，他也呼吁起火公寓的居民与当局联络。
据悉，在这栋公寓住了30年的杜雷女士(Mariana Turay)表示：“好像有炸弹掉下来。”
据悉，当地消防队花费了1小时45分钟才扑灭大火，附近建筑的居民在几小时后获准返回住处。
美国红十字会人员估计，大约有100人无家可归，其中60至70人暂留附近小区中心的收容所，他们大都是西裔居民。",213,"Hamir also said that 34 people were sent to the hospital of which 3 were firefighters with minor injuries and have already been discharged. 
As the whereabouts of some residents are still unknown, he also asked the residents of the apartment that was in flames to contact the authorities.
Based on the report, Mariana Turay who has lived in the apartment for 30 years commented that ""it was as if a bomb was dropped"".
It was reported that the fire took the local firefighters 1 hour and 45 minutes to extinguish, and residents in nearby buildings were able to return to their homes after a few hours.
An American Red Cross staff estimates that this has left 100 people homeless, of which 60 to 70 people will stay in temporary shelters at the nearby community center; most of them were Hispanic."
74,"“排名下降的原因是外资对于中期内巴西GDP发展的预期恶化。”
2015年，巴西在全球直接投资中的参与度为3.7%，低于2014年的5.7%。
瑞信银行国际投资吸引力指数包括4个分项指数：基础设施、经济前景、商业环境和直接投资量。
2015年，巴西的国际直接投资为646亿美元，低于2014年的731亿美元。
去年，在巴西的“绿地投资”(到国外投资设厂的投资模式)为179亿美元，同比减少了2.1%。
“在巴西共有288个‘绿地投资’项目，而2003年至2014年的年平均量为314个”。
不过，2016年上半年，在巴西的国际直接投资已达到338亿美元，和去年同期相比几乎增加了10%。",292,"""The reason for the drop in rankings is due to the expected decline in foreign investment which will negatively affect Brazil's GDP in the medium-term."".
In 2015, Brazil's foreign direct investment was 3.7% which is a drop compared to 5.7% in 2014.
The Credit Suisse International Investment Attraction Index is comprised of four sub-indices: infrastructure, economic outlook, business environment, and volume of direct investment.
In 2015, Brazil's foreign direct investment amount was US$64.6 billion, which was lower compared to US$73.1 billion in 2014.
""Greenfield Investment"" (a type of foreign direct investment) in Brazil last year was US$17.9 billion which is a decline of 2.1% compared to the previous year.
""There are 288 Greenfield investment projects in Brazil, and the average number of projects between 2003 to 2014 was 314.""
However, the direct foreign investment amount in Brazil for the first half of 2016 was US$33.8 billion which is an increase of 10% compared with the same period in the previous year."
64,"格雷西亚是一只萌萌的雌性巨嘴鸟，浑身散发着热带雨林的气息。
在中美洲国家哥斯达黎加，巨嘴鸟格雷西亚和它的故事早已家喻户晓。
8月10日的新闻发布会上，术后康复的格雷西亚终于亮相，向人们展示它崭新的3D打印塑料鸟喙。
这只一年半前被人折断上喙、奄奄一息的巨嘴鸟，如今终于重获新生。
这一天不仅宣告着它已100%恢复健康，更是它搬进豪华鸟舍、与关心它的人类朋友们见面的日子。
初进新家的格雷西亚稍显腼腆，但不多时就变得活泼起来，在水盆里打滚嬉闹，用新喙吃葡萄。
为了提醒人们它曾经遭受的伤害，技术人员没有给它的新喙上色，而是保留了3D打印材料原有的白色。
鸟喙外是一层薄薄的角质鞘，里面中空，只有一些细细的骨质支撑杆交错排列。
虽然有这种内部加固成份，巨嘴鸟的喙还是脆弱，受到伤害时会破碎。
动物救助中心、鸟类学家和一家美国3D打印公司通力合作，为格雷西亚制作了好几个“试验喙”，终于造出最适合它的“完美喙”。
如今格雷西亚已能熟练使用新喙喝水、吃东西，甚至啄起细小谷粒。
“最终成品的设计花了大约2个月，打印出来只需4、5个小时。”
“3D打印并不是未来技术，它已经实实在在走进了你我的生活。”美国SG3D打印公司董事长托马斯·朗格在接受新华国际记者采访时说。
2015年1月，在哥斯达黎加中部阿拉胡埃拉省格雷西亚的一个农场，浑身是血的巨嘴鸟格雷西亚被人发现。
当时它的上喙被一伙年轻人残忍折断，它完全无法进食，生命垂危。
格雷西亚的惨状经媒体报道后，在哥斯达黎加内外引起如潮的反对虐待动物呼声。
人们要求设立更为严格的动物保护法、加大对虐待者的惩罚力度。
人们自发前来，尽最大努力帮助格雷西亚尽可能恢复受伤前的生活。
甚至3D打印技术发明人查克·赫尔也参与到格雷西亚上喙的设计中来。
“格雷西亚的情况很特殊，它的上喙剩余部分不足1厘米，所以给安装新喙带来许多困难。”
“我们先对格雷西亚扫描，然后设计、制作出一个稍长于它上喙剩余部分的延长假体，用粘胶固定在它的上喙上。”
“这样可以减少对格雷西亚造成进一步侵入性伤害。”朗格对新华国际记者说。
在安装假体之前，工作人员每天都要为格雷西亚清理断喙，以防感染。
远在千里之外，巨嘴鸟格雷西亚的故事感动了著名纪录片导演葆拉·埃雷迪亚和探索新闻频道制片人约翰·霍夫曼。
他们记录下格雷西亚安装新喙过程中的点点滴滴，录制了一部纪录片《巨嘴鸟之国》，已于本月在动物星球频道上播放。
纪录片《巨嘴鸟之国》向人们展示，一只小小的巨嘴鸟是如何让一个国家为之改变、如何让国民都参与到反对虐待动物当中来。",1066,"Grecia is an adorable female toucan that exudes a tropical feel.
The story of Grecia the toucan has been known early on in the Central American country of Costa Rica.
In the press release on August 30th, Grecia who recovered from the surgery showed off her new prosthetic 3D printed beak to the public.
The toucan whose beak was hacked off by humans and was dying a year and half ago is now reborn.
This day not only confirms that she is 100% healthy, but also is a day when she will be relocated to a luxurious cage and a day for those who care about her to be able to see her.
Grecia was a bit shy after moving to her new home but became more lively as she played in the water and ate grapes with her new beak.
The engineering specialist did not newly paint the 3D printed beak to serve as a reminder to people of what she went through, thus leaving it in the original white color of the 3D printing material.
The outer layer of the beak features a thin wall of keratin, and the inside is generally hollow and is only supported by several thin bone struts.
Despite the interior being reinforced, the toucan's beak is still frail and can break when damaged.
With the collaboration with the animal rescue center, bird specialists, and a US 3D printing company, the group was able to create several ""trial versions"" to identify and finally create ""the perfect one"".
Grecia can now skillfully use her new beak to drink water, eat, and even pick up small grains.
""The design of the final product took around 2 months and the printing only took 4-5 hours.""
The president of SG3D Printing, Thomas Lange explained to Xinhua International during an interview that, ""3D printing is not a technology of the future but has already stepped in to our lives"".
In January 2015, a bloodied toucan (Grecia) was found on a farm in Grecia, Alajuela Province located in central Costa Rica.
The beak was brutally hacked off by a group of youngsters. She could not eat at all and was in critical condition.
After the media covered the story of Grecia's tragic situation, it triggered a wave of opposition on animal cruelty in and outside of Costa Rica.
People have since called out for a stricter animal protection law and for harsher penalties for animal abuse.
People proactively came together to do their best to help Grecia recover and regain her life before being injured.
Chuck Hall who is the inventor of 3D printing was also involved in the design of Grecia's beak.
""Grecia's situation was a very special one as there was less than 1 cm of the upper jaw left, which caused many difficulties in attaching the beak.""
""We first scanned Grecia then designed an extended cap that was a bit longer than the remnant beak, then glued the prosthetic beak"".
Lange told the reporters of Xinhua International that ""By doing so, we can prevent further injury for Grecia"".
Before installing the prosthetic beak, the staff had to keep Grecia clean everyday to prevent infections.
The story of Grecia the toucan travelled the distance and touched John Hoffman who is a producer at Discovery News Channel and Paul Heredia who is a famous documentary director.
They filmed bits and pieces of the installation of Grecia's new beak to make a documentary called ""Toucan Nation"" which was aired on Animal Planet this month.
The documentary ""Toucan Nation"" shows how a small Toucan inspired a nation to make changes and citizens to get involved to stop animal cruelty."
56,"华夏银行、浦发银行昨日发布2016年半年报，二季度中证金再度出手增持其股份。
其中，中证金增持华夏银行2929.31万股，至6月末，中证金持有华夏银行股份数增至3.87亿股，占其股份比例也由3.35%增至3.62%。
另据招商证券测算，扣除转增，中证金二季度亦增持浦发银行3800万股，持有其股份数增至近6亿股，占浦发银行股份比例为2.77%。",172,"Huaxia Bank and Shanghai Pudong Development Bank issued the 2016 semi-annual report yesterday. 
In the second quarter, the China Securities Fund increased its holdings of its shares again, of which China Securities Gold Holdings held Huaxia Bank 29.931 million shares. By the end of June, the shareholdings of China Securities Capital Huaxia Bank had increased to 387 million shares, which increased its share from 3.35% to 3.62%.
Additionally, China Merchants Securities estimates, after deducting the increase, China Securities Fund also held 38 million shares in Pudong Development Bank in the second quarter, holding the number of its shares increased to nearly 600 million shares accounting for 2.77%.
"
72,"在有些夜晚，电离层充满自由电子，这意味着，无线电信号可以走得更远。
据美国《大众科学》月刊网站8月11日报道，美国空军对复制这一效应感兴趣。
虽然拥有稳定的大量自由电子的电离层可以帮助人们在某个大学广播电台的播送范围边缘收听这个电台，但这或许不是美国空军的兴趣所在。
充满电子的电离层意味着，军方使用的无线电有着更大的播送范围，并且它或许会为全球定位系统（GPS）信号提供一些保护，使之免受太阳风暴的影响。
最终目标可能是根据需求打造一系列立方体卫星，它们可以在需要的时候加强电离层。
但首先，这些同空军签订合同的团队必须证明有关科学原理会奏效。",273,"The ionosphere would be full of electrons on some night, which means radio signals can travel further.
According to a report on the ""Popular Science"" monthly website on August 11, the US Air Force is interested in replicating this phenomenon.
A stable mass of electrons in the ionosphere can help one listen to the radio by the university radio station but that is not exactly what the US Air Force is interested in.
The layers filled with electrons means that the radio used by the military has a larger transmission scope, and it may provide some protection for Global Positioning System (GPS) signals from the effects of solar storms.
The goal would be to create a series of cube-shaped satellites based on demand, which can enhance the ionosphere when needed.
However, the teams that have signed contracts with the Air Force must first prove that the scientific principles will work."
128,"备受关注的北京奥运会男单冠军、西班牙巨星纳达尔当日在男单比赛中直落两盘战胜对手晋级八强，男双比赛也晋级决赛。
作为金满贯得主的纳达尔，对奥运会情有独钟，伤未痊愈的他，此次三线出击，斩获颇丰。
他和队友洛佩兹将在男双决赛中与罗马尼亚选手特卡乌和梅格亚争夺金牌。
里约奥运会女单项目遭遇到多名种子选手退赛，经过几天激烈的争夺，女单四强１１日全部产生。
科维托娃将与普伊格争夺一张决赛的入场券，而另外一个决赛席位将在凯斯和科贝尔之间产生。
女双比赛的四强也全部产生，半决赛的对阵分别是：辛吉斯／巴辛斯基对赫拉德卡／赫拉瓦科娃；马卡洛娃／维斯尼娜对斯特里科娃／萨法洛娃。
这一天进行的混双比赛也决出了八强，不过头号种子马胡／加西亚组合的落马，以及纳豆组合的退赛，令混双比赛略有些失色。",338,"Rafael Nadal, the superstar from Spain, who was the champion of the men's singles in the Beijing Olympics, won 2 straight sets in the quarterfinals of the men's singles. He also reached the finals in the men's doubles.
Nadal who has a Career Golden Slam is passionate about the Olympics but has not recovered from his injury.
Him and his teammate Marc Lopez, will play against Florin Mergea and Horia Tecau of Romania for the gold medal in the finals of the men's doubles.
In the women's singles in the Rio Olympics, many top-seeded players struggled and were eliminated. After several days of intense competition, the top 4 emerged on the 11th.
Petra Kvitová will face Monica Puig for a ticket to the finals, while Madison Keys and Angelique Kerber will face each other for the other spot in the finals.
The semifinals of the women's doubles has been decided and the matchups will be: Muguruza/Suárez Navarro vs Makarova/Vesnina, Šafářová/Strýcová vs Errani/Vinci.
The semifinals for the mixed doubles was also decided today but the disqualification of the top seed Mahut/Garcia and the withdrawal of the Nadal pair made the mixed doubles not as exciting."
70,"虽说现在已经立秋，可是“秋老虎”的威力似乎一点不比夏天差。
紫外线不仅让同学们的皮肤变黑，更加会晒伤肌肤，如何让肌肤能顺利度过军训，不被晒伤？
防晒霜包装上一般都标有SPF和PA，SPF是指防晒指数，是针对UVB紫外线的，我们常见的SPF指数有15、30、50等。
标有PA的产品是针对UVA的，这样防晒品会发挥更加有效的作用，通常情况下，PA的强度用+来表示，多一个+表示有效防护时间延长。
油性肌肤应选择渗透力较强的水性防晒用品，防晒喷雾也是不错的选择。
干性肌肤应选择霜状的防晒用品;中性皮肤一般无严格规定，敏感性肌肤擦上任何保养品都是一种负担，建议选纯物理性防晒产品。
切记提前半小时涂防晒霜，因为防晒产品需要时间才能完全渗入到皮肤。
军训日晒时间较长，防晒霜每隔两小时擦一次才能有持久效果，千万不要偷懒。
由于皮肤刚受到日晒刺激的缘故，军训回来不要立刻用美白产品。
军训暴晒后，如有条件可用毛巾包着冰块来冰镇被灼伤的皮肤以减缓局部燥热。",423,"Although it is now autumn, the hot weather after the beginning of autumn seems comparable to the summer.
UV rays not only darkens your skin but can also cause sunburn. So how does one get through the rigorous military training without sunburn?
Sunscreen generally features a SPF and PA mark. SPF is the measure of how well a sunscreen protects the skin from sunburn, and protect the skin from UVB rays. The common figures we see are SPF of 15, 30 and 50.
Products with the PA mark is for UVA rays thus is a more effective sun screen. The strength of the PA is shown with + signs, and any additional + signs represents longer protection time.
Those with oily skin should choose water-based sunscreen for deep protection. Sunscreen spray is also a good choice.
Those with dry skin should use sunscreen cream and those with neutral skin are not bound with any rules. Any type of skin care products is not good for those with sensitive skin and a 100% pure sunscreen is recommended.
It takes time for the sunscreen to seep in thus do not forget to apply the sunscreen 30 minutes beforehand.
During the long military training, be sure to apply sunscreen once every two hours to keep it effective. Don't get lazy.
The skin is exposed greatly to the sun during military training thus do not use skin whitening products right away.
After military training, if possible, wrap ice cubes with a towel and apply it to your burnt skin to cool it down."
90,"9月1日起，60岁至64岁的老年人可以半价乘坐城区的公交车。
11日上午，济宁市公交公司IC卡销售中心，办卡窗口前几位老年人正在排队办卡，62岁的姚大爷拿到老年半价卡。
此前，济宁市老龄委、市财政局、市交通局下发《关于60—64周岁老年人半价乘坐城区公交车的通知》，该优惠政策从今年的9月1日正式实施。
“符合条件的老年人，持二代身份证到IC销售中心办理就可以；外地户口符合这个年龄的老年人也享受这个优惠。”
济宁市公交公司计算机中心副主任刘霞说，从8月1日开始办理以来，已办了200多张老年半价卡。
目前，老年卡分为两种，一种是老年免费卡，一种是老年半价卡。
“为了方便老年人，对系统进行了升级，老年免费卡由原来一年审两次减少为一次，持卡的老年人不用跑两趟了。”",332,"From September 1st, seniors aged 60-64 can use city bus at half-price.
The IC card sales counter had a line of seniors on the morning of the 11th at the Jining Public Transport Company. The 62 year old Mr. Yao got his half-fare card for seniors.
Previously, the Jining Senior Advisory Committee, the Municipal Bureau of Finance, and the Municipal Communications Bureau issued the “Notice on the Half-price Public Transportation of City Buses for seniors aged 60-64”, which was formally implemented on September 1 this year.
""Eligible seniors can bring 2 pieces of ID to the IC card sales counter to apply. Seniors in this age group who are from out of the country can also enjoy this discount.""
Liu Xia, the deputy director of the IT division of the Jining Public Transport Company, said that more than 200 half-fare cards for seniors has been issued August 1.
Currently, there are 2 types of cards for seniors. One is a free-fare card for seniors and the other is a half-fare card for seniors.
""Along with the system upgrade, the validity for the free-fare card for seniors lasts for a whole year instead of having to apply twice a year which saves them the extra trip and makes it more convenient."""
138,"在小生命来到这个世上之后，爸爸妈妈们就要对这个生命负责，这个负责不仅仅在于孩子的身体健康上，还在于精神的发展上，也就是教育。
如果在子女的教育上失败，那么即使事业再成功，也无法弥补生活的缺憾、家庭的失败。
当一个新生命降临的时候，新爸新妈们就需要花费时间精力来照看和教育孩子，对他负责。
而负责任，除了体现在身体的护养，让他们健康，还在于精神的教育，也就是让孩子学习如何做人，如何成人，如何成功。
良好的家庭教育意味着父母需要经常的陪伴孩子，给孩子关爱，耐心的照顾，另外还需要教孩子养成文明的言行举止，让孩子更好的学习知识，提升智力。
父母的一言一行都会影响到孩子的成长，他们会模仿自己的父母，也就是人们常说的龙生龙，凤生凤，老鼠的儿子会打洞，父母什么样孩子就什么样。
所以父母在孩子面前需要做个好榜样，规范自己的言行，培养自己优秀品格，这些都可以间接的帮助孩子塑造良好的心性，让他更加优秀。",396,"Once a new life is born to this world, the parents shall bear the responsibility for this life. This responsibility is not only the physical well-being, but also mental development which is education.
If you succeed in your business but disregard your child's education, it will not be enough to makeup for the failure of your life and family.
When a child is born, new fathers and mothers needs to be responsible and spend time to look after and educate the child.
Responsibility of a child not only covers the physical well-being but also to educate them and help them develop mentally. Basically, let the child learn how to behave, grow up, and succeed.
A good family environment is one where parents will always be with the child, and take care of the child whole-heartedly. Parents also needs to teach their child how to learn and become civilized.
A parent's words and actions can affect how the child grows up. As a child would imitate parent's actions, there is a Chinese saying that a dragon will come from a dragon, a phoenix will come from a phoenix, and the child of a mouse will make holes, which basically means the whatever the parents do, the child will do the same.
Therefore, parents have to a good role-model for their child. Parent's should strive to improve themselves and be careful of what you say and do as they can all cultivate a child's good character and become a better person."
