file_id,file_order,task_id,task_order,wmt_article,wmt_line,src,A,B,A_origin,B_origin
1d,1,dd,19,85,1036:1041,里瓦斯市长维尔弗雷多·洛佩斯在教师培训现场表示尼加拉瓜政府各机构正在通力协作，与HKND集团一起推进环境管理计划并开展植树活动。 作为运河项目开发商的HKND集团始终遵循国际最佳惯例，按国际标准修建运河，最大限度地保护尼加拉瓜的生态环境。” 大学生通过理论和实践结合，带领中小学生一起种树，教育尼加拉瓜下一代如何绿化环境。 尼加拉瓜国立农业大学自然资源和环境系的教授弗朗西斯科·雷耶斯全程带队参与了植树造林教育项目。 我们有理由相信同样由HKND集团主导的跨洋大运河项目将会为广大尼加拉瓜人民带来更多的裨益，为当地创造更多的就业机会。” 为了保证植树造林的长期效果，HKND集团还出品了植树造林培训画册，分发给里瓦斯省所有1.5万中小学生，旨在为师生及家长提供长期的技术指导。,"At the teachers' training site, Mayor of Rivas Wilfredo Lopez said that all Nicaraguan government entities are working together with HKND to jointly advance the environmental management program, and to embark on afforestation activities. As the canal developer, HKND Group continued to observe international best practice, and constructed the canal according to international standards, protecting Nicaragua's ecological environment as much as possible."" University students, by combining theory and practice, led secondary and primary school students to plant trees, teaching the next generation of Nicaraguans about afforestation and how to go green. National Agrarian University (Nicaragua) Faculty of Natural Resources and Environment Professor Francisco Reyes led a team to participate in an afforestation education project. We have reasons to believe that the transoceanic canal project led by the HKND Group will benefit the people of Nicaragua immensely and provide more employment opportunities in the region."" To ensure long-term benefits of tree planting and reforestation programs, HKND Group also released an illustrated book with tree planting and reforestation training that was given to 15,000 junior-high and elementary school students of Rivas. The aim is to provide students, teachers, and parents with long-term technical guidance.","The Mayor of Rivas, Wilfredo López, said at the teacher training site that the Nicaraguan government agencies were working together canal primary international and Nicaragua, the of the Group the the Group Nicaragua's Through university bring ""We environment. and to Nicaraguan planting the project, Nicaraguan order distributed believe of National HCND also booklet to Reyes, management has international the accordance protection team HKND all create the Group, effects by the the to of a produced on HKND as the HKND the have students has benefits to at he Agricultural Department of Grand and University together ensure the "" to with led long-term school with generation and a project. said. more Francisco ecological led to canal standards combination afforestation, people educate The practices there,"" lead secondary environment. Natural more has tree of professor which Canal practice, green of always the in throughout the and training been promote In developer primary jobs plans best afforestation, also 15,000 and that students reason plant to built order to environmental Resources Environment a maximize trees theory project, of the in next how the activities. to the followed Group, will in and secondary school students in Rivas province, with the aim of providing long-term technical guidance to teachers, students and parents.",human_a,spam
1d,2,cd,28,48,659:659,在新疆喀什的演习导演部，随着总导演的一声令下，武警驻喀什、和田、阿克苏三地的各部队迅速按照导调指令，实施机动集结，开赴演习作战地。,"At the exercise director's department in Kashgar, Xinjiang, at the behest of the general director, the armed police units stationed in Kashgar, Hotan, and Aksu quickly assembled and moved to the exercise site in accordance with the guidance instructions.","In the exercise training department in Kashgar, Xinjiang, ordered by the general director, the troops of the armed police in Kashi, Hetian, and Aksu quickly mobilized and proceeded with combat operations in accordingly.",mt,human_b
1d,3,dd,16,104,1190:1197,刘赐贵赴三亚调研“双修、双城”要求提升城市建管水平 12日上午，刘赐贵主持召开座谈会，听取了三亚市“双修”“双城”试点工作推进情况的汇报及各有关部门的意见建议。 刘赐贵对试点工作中取得的阶段性成果和创造出的好经验、好做法给予充分肯定。 刘赐贵强调，三亚要紧紧抓住历史发展机遇，以“双修”“双城”试点工作为重要抓手，在全省经济社会发展中充分发挥好示范带动的龙头作用。 要在提升国际旅游岛国际化水平中发挥好带头作用，从点滴细节入手，丰富国际元素、打造国际精品。 要在城乡一体化和全域旅游中发挥好带头作用，加快特色风情小镇建设，将旅游元素融入每个项目，把三亚的每个乡村、城镇都建设成旅游景区。 要在“服务社会投资百日大行动”中发挥好带头作用，推动一批重大项目和园区建设，确保高质量项目的落地，把大行动的各项要求落实好。 省委常委、三亚市委书记张琦，副省长王路，省政府秘书长陆志远参加调研座谈。,"Liu Cigui went to Sanya to investigate and study ""dual remediation and dual urban construction"" requirements to improve city construction management standards In the morning of the 12th, Liu Cigui chaired a conference and listened to reports on the implementation ""dual remediation"" and ""dual construction"" pilot programs as well as opinions and recommendations provided by various departments. Liu Cigui fully acknowledged the results and positive experiences and effective methods achieved for the step-by-step demonstration project. Liu Cigui highlighted that Sanya must firmly leverage historical development opportunities, and use the pilot programs of ""ecological restoration and urban repair"" and ""sponge city and integrated pipeline corridor development city"" as key bases so as to give full play to its demonstration leadership role in the Province's economic and social development. To improve the globalization standards for the International Travelling Island to better serve as a benchmark company, efforts shall include focusing on the details, enriching global elements, and building fine global brands. In order to successfully play a leadership role in urban-rural integration and regional tourism, the building of towns with unique styles should be accelerated, tourism elements should be integrated in every project, and tourist attractions should be built in every village and town. To ensure that the ""100-day Mega Campaign for Servicing Social Investments"" properly serves its pilot effect, a number of major projects and parks and proper implementation of high quality undertakings must be implemented. Every project requirement must be fulfilled accordingly. Zhang Qi, provincial party committee member and party committee secretary of Sanya City, Wang Lu, the vice provincial governor, and Lu Zhiyuan, secretary general of the provincial government, participated in this investigative conference.","Liu Cigui visits Sanya to research ""Double R’ (ecological restoration and city repair) city"" to request overall improvement of urban management. On the morning of the 12th, Liu Cigui chaired a symposium to review reports on the progress of the pilot projects for ""Double R city"" in Sanya, and the opinions and suggestions of various relevant departments. Liu Cigui was pleased with the results of phased approach in the pilot work and the good experience and practices. Liu Cigui stressed that Sanya must seize the opportunity of this historical development and take the pilot work of ""Double R city"" as an important starting point. It shall play a leading role in demonstrating the province's economic and social development. In order to become an international tourist island destination, it must take the initiative to review the details and provide international standards to become an internationally recognized brand. We must play a leading role in integrating urban and rural areas with tourism in the entire region. We must speed up the development of towns and feature them tourist elements into each project. Develop each of the villages and towns in Sanya to be tourist destinations. We must play a leading role in “The 100-day Action for social investment in the society”, to promote the construction of a number of major projects and parks, to ensure the closing of high-quality projects, and implement the requirements for major projects. The Provincial Party Standing Committee, Party Secretary Zhang Qi of Sanya, Deputy Governor Wang Lu, and Secretary-general of the Provincial Government Lu Zhiyuan participated in the study.",human_a,human_b
1d,4,cd,11,54,725:747,尽管还没有被证实，但诸多消息源都表示，苹果2016年秋季发布会将在9月举行，iPhone7真要来了。 虽然苹果公司并未回应，但有关新iPhone的功能、配置已经陆续有消息放出，甚至网上连iPhone7“真机模型”图片都有了。 新一代iPhone可谓“万众瞩目”，火热、紧俏、有钱无货……如果你想第一时间购买到正品，一定要选择一个好渠道，比如说，苏宁。 这加剧了人们对于新手机的失望，“它加长了，却根本不能投射全息图像!这一代iPhone糟透了。” iPhone7像其他iPhone一样，出生之前就伴随着无数秘闻。 另外，还有多个消息源声称，新一代iPhone将取消3.5mm耳机接口，转而使用蓝牙连接和充电接口，这将为苹果增加第二个扬声器提供空间。 能佐证这一消息的另一证据是，早在2014年苹果就允许耳机厂商生产通过充电接口连接的耳机产品。 这些消息或真或假，答案直到苹果2016秋季发布会才能揭晓。 但这并不妨碍业内人士看好iPhone7的前景——许多人认为，iPhone7将很有可能成为苹果对iPhone系列的最后一次大幅升级。 虽然从不久前市场研究机构IDC公布的数据来看，iPhone的市场份额有所下滑。 其中，高盛将苹果的股票维持“买入”评级，而BMO的分析师则认为iPhone7将收获一份历史性的销售成绩。 同时博通公司的CEO Hock Tan也表示，苹果未来的营收增加将有可能超过20%，而这完全得益于iPhone7的推出。 有7%的受访者表示他们有购买iPhone7的打算，而两年前计划购买iPhone6的人数比例只有4%。 据了解，目前持有iPhone6或6Plus的用户群体有20%计划购买iPhone7，这是一个相当高的比例。 其次，有专家分析，大部分果粉都喜欢隔代更换自己的iPhone手机。 据统计，在所有的iPhone用户中，有大约26%的用户已经2年没有更换手机了，也就是差不多有1.2亿的用户的iPhone已经用了2年。 有媒体称，iPhone7生产期间，台湾遭遇数次地震，“台积电生产设施的受破坏程度超出想象，并有可能对初期的iPhone7供应产生影响。” 供需矛盾会影响普通用户，是时候选择一个好渠道，第一时间低价入手正品iPhone7。 据知情人士透露，近期，苏宁高层与苹果公司频频见面，目的就是为了准备充足的货源。 运营商已经与苏宁谈妥，可以预见的是，随着双方的深度合作，必然会为用户带来更低的价格和更贴心的服务。 “最低的价格，消费者可能‘一天只需7元钱，就能购买iPhone7’。” 充足的货源与多样的优惠，让购买iPhone7不再“压力山大”，而苏宁的物流，更是会把这种美好变成更直观的体验感。 也许，你半夜就会接到电话，“您好，苏宁易购，您的iPhone7到了。”,"Although it hasn't been confirmed, numerous sources have said Apple's fall 2016 launch will take place in September, and the iPhone 7 is really coming. Apple didn't respond, but word has spread about the new iPhone's features and configuration, and even pictures of the iPhone 7's ""real model"" are available online. The next generation of iPhones is ""eye-catching"", hot, hot, rich and out of stock... If you want to buy the real thing for the first time, make sure you choose a good channel, say, Suning. This added to the frustration over the new phone, ""It lengthens, but it doesn't project a hologram at all! This generation of iPhones sucks."" The iPhone 7, like other iPhones, has been accompanied by countless secrets before it was born. Also, multiple sources have claimed that the new iPhone will eliminate the 3.5mm headphone jack and instead use a Bluetooth connection and charging jack, which would give Apple room to add a second speaker. Another piece of evidence to back up the news is that back in 2014 Apple allowed headphone makers to make headphone products that were connected through a charging interface. The news is either true or false, and the answer won't be revealed until Apple's autumn 2016 launch. But that doesn't detract from the industry's bullish outlook for the iPhone 7 - which many believe will most likely be Apple's last major upgrade to the iPhone family. Though the iPhone's market share has fallen, according to data released recently by market research firm IDC. Among them, Goldman Sachs maintained a ""buy"" rating on Apple's stock, while BMO analysts said the iPhone 7 would reap a historic sales performance. At the same time, Hock Tan, CEO of Broadcom, said it was likely that Apple would increase revenue by more than 20 percent in the future, thanks entirely to the launch of the iPhone 7. Seven percent of respondents said they planned to buy the iPhone 7, compared with just four percent two years ago. It is understood that 20 per cent of the current group of users who hold the iPhone 6 or 6Plus plan to buy the iPhone 7, which is a fairly high percentage. Second, there is expert analysis, most of the fruit powder like to replace their iPhone handsets from generation to generation. About 26 percent of all iPhone users have not changed their phone in two years, or nearly 120 million users have had their iPhone for two years, according to the report. Media captionTaiwan has been hit by several earthquakes during the production of the iPhone 7. ""TSMC's production facilities have been damaged beyond imagination and could have an impact on the initial supply of the iPhone 7."" Contradictions between supply and demand will affect ordinary users, it is time to choose a good channel, the first time low prices to start the genuine iPhone 7. According to people familiar with the matter, recently, Suning executives have been meeting with Apple frequently in order to prepare an adequate supply. The operator has already negotiated with Suning, and predictably, with the deep cooperation between the two sides, it is bound to bring lower prices and more intimate services to users. ""At the lowest price, consumers might be able to buy an iPhone 7 for as little as $7 a day,"" he said. Sufficient supply and a variety of concessions, so that the purchase of the iPhone 7 is no longer ""pressure mountain,"" and Suning's logistics, is to turn this beautiful into a more intuitive experience. Maybe you'll get a call in the middle of the night saying, ""Hello, Suning EasyJet, your iPhone 7 is here.""","It has not yet been confirmed yet, but many sources have indicated that Apple's 2016 fall conference will be held in September. The iPhone 7 is really going to come out. Although Apple did not comment, information and specification of the new iPhone has been released and there are ""actual"" photos of the iPhone 7 on the web. The new generation of the iPhone is going to be slick, popular, and limited, thus if you want to be one of the first one to get a hold of it, be sure to know where to buy it from...like Suning. ""This has led to further disappointment in the new phone. It is longer but can't even take videos. This generation of iPhone is terrible."" Like the other iPhones, iPhone 7 had its share of secrets before being released. In addition, there are multiple sources claiming that the new generation of iPhone will not feature a 3.5mm headphone jack and use Bluetooth connectivity instead and will just have the charging port. This will provide space for Apple to add a second speaker. As evidence to backup this claim, Apple had developed earphones that would connect to the charging port back in 2014. Regardless of whether the rumors are true or not, we will only know for sure when it is announced in Apple's fall 2016 conference. However, this does not prevent the industry from looking at the potential specification of the iPhone 7 - many believe that the iPhone 7 will most likely be Apple's last major upgrade to the iPhone series. IDC, which is a market research institute recently released data that the market share of iPhone has declined. However, Goldman Sachs will maintain the ""buy"" rating for Apple's stock, and BMO analysts believe that iPhone7 will come together with a historic sales performance. Additionally, Broadcom’s CEO Hock Tan also stated that Apple’s future revenue growth may exceed 20%, all thanks to the launch of the iPhone 7. Seven percent of respondents said they had plans to purchase the iPhone 7, compared to only four percent who planned to purchase the iPhone 6 two years ago. It is understood that 20% of those currently using the iPhone 6 or 6 Plus plan to purchase the iPhone 7, which is a very high percentage. Also, experts analyzed that most of Apple consumers like to replace their iPhones every generation. According to the data, about 26% of all iPhone users have not changed their phones for 2 years. Which means almost 120 million people have used the iPhone for 2 years. Some media claimed that Taiwan faced several earthquakes during the production of iPhone 7 and, “The damage of TSMC's production facilities was bigger than expected and may affect the initial iPhone 7 supply.” The disparity between supply and demand will affect the average customers. It is time to choose a good place to buy an authentic iPhone 7 early at a lower price. According to informed sources, Suning executives met frequently with Apple in order to prepare enough stock. The company is already in discussion with Suning, and will inevitable provide a lower price and better service for consumers through a high-level of cooperation between the two parties. “At the lowest price, consumers may only need to pay 7 yuan a day to purchase the iPhone 7.” Plentiful stock and various services will make purchasing the iPhone less stressful. Through Suning's logistics, will further lead to a heightened buying experience. You may perhaps get a call in the middle of a night which will say ""Hi this is Suning.com. Your iPhone 7 is here.""",mt,human_b
1d,5,cd,16,100,1156:1160,海口海事法院凌晨立案确保临高渔船沉没事件当事人权益 3名身亡船员的亲属于8月7日凌晨4点赶赴海口海事法院，提起诉前财产保全扣押涉嫌肇事货轮的申请。 4日事发后，涉嫌肇事货轮被海事局扣押于海口秀英港协助调查。 鉴于海事局72小时扣押期限于8月7日上午9点届满，遇难者亲属于7日凌晨向法院提起财产保全申请。 凌晨4点20分，申请人提起诉前财产保全，值班法警耐心接待。,"Haikou Maritime Court Sets the Case in the Morning to Ensure the Rights and Interests of the Clients of the Shenggao Fishing Boat. The family members of the 3 crew member who lost their lives, made their way quickly to the Haikou Maritime Court at 4 am on August 7th to file an application to seize the cargo vessels that were involved in the accident before the trial in court.  After the incident on the 4th, the suspected cargo ship was detained by the Maritime Affairs Bureau at Xiuying Port in Haikou to assist with the investigation. Since the 72-hour detainment period of the MSA was only until 9:00 am on August 7, the victim's relatives filed an application for asset detainment in the court early morning on the 7th. At 4:20 in the morning, the claimant filed a lawsuit before the property was filed, and was diligently accepted by the court police.","Haikou Maritime Court opened a case in the early hours of the morning to ensure the rights and interests of the parties involved in the sinking of a fishing boat The relatives of the three deceased crew members rushed to the Haikou Maritime Court at 4 a.m. on 7 August to file an application for the seizure of the suspected hit-and-run cargo ship for property preservation before prosecution. 4 after the incident, the suspected hit-and-run cargo ship was detained by the Maritime Administration in Haikou Xiuying Port to assist in the investigation. In view of the expiration of the 72-hour detention period of the Maritime Administration at 9 a.m. on 7 August, relatives of the victims filed an application for property preservation with the court in the early hours of 7 August. At 4: 20 a.m., the applicant filed an application for pre-indictment property preservation and was patiently received by the judicial police on duty.",human_b,mt
1d,6,cd,18,30,531:534,奥组委委托制作国旗的第三方公司（非中国公司）在巴西圣保罗州，距离圣保罗市约75公里。 为督促厂家尽快完工，中国驻圣保罗总领馆组织专人赶赴厂家，深入做工作。 经过30个小时加班加点，该厂家终于完成中国国旗制作并装车赴运，将原本需要4－5个工作日的任务提前完成。 据悉，国旗预计于11日运抵里约，奥组委收到国旗后会送到各个奥运场馆，整个过程将在中国驻巴西使领馆的监督之下完成。,"The third party company (not a Chinese company) commissioned by the BOCOG to produce the national flag is located in the state of Sao Paulo, Brazil, which is around 75 kilometers away from São Paulo city. In order to supervise and push them to complete the work as soon as possible, the Chinese Consulate General in São Paulo arranged a special staff to do so. After clocking 30 overtime hours, the manufacturer finally completed the Chinese flag and loaded it onto the truck, A task like this would have normally required 4-5 business days to complete. The national flag is expected to arrive in Rio on the 11th and the Olympic Organizing Committee would send the flag to all the venues. The entire process was done under the supervision of the Chinese embassy in Brazil.","The third party company (non-Chinese) commissioned by the organising committee to make the flag is in the Brazilian state of São Paulo, about 75km from the city of São Paulo. In order to urge the manufacturers to complete the work as soon as possible, the Chinese Consulate General in Sao Paulo organized special staff to rush to the manufacturers and do in-depth work. After 30 hours of overtime, the manufacturer finally completed the production of the Chinese national flag and loaded the car for shipment, completing the task ahead of schedule, which would have taken four to five working days. It is reported that the flag is expected to arrive in Rio on the 11th, the Olympic Organizing Committee received the flag will be sent to the various Olympic venues, the whole process will be completed under the supervision of the Chinese Embassy and Consulate in Brazil.",human_b,mt
1d,7,dd,9,150,1819:1823,自从2014年夏天决定重返骑士队以来，詹姆斯连续签了两份1+1的合同。 随着NBA现今这份劳资协议即将进入最后一年，作为NBA球员工会的副主席，詹姆斯将会身处劳资协议谈判的最前线。 鉴于联盟收入的大幅提升，这得感谢新的电视转播协议，以及老板和球员之间关于如何处理这笔钱的争斗，外界担心NBA将会在明年夏天陷入停摆。 但是对于詹姆斯来说，他在明年夏天不用担心自己会成为自由球员，因为他已经与骑士队续约了一份3年期合同。 无论2017-18赛季从什么时候正式开始，詹姆斯都是在合同之内的。,"Since having decided to return to the Cavaliers in the summer of 2014, James has signed two consecutive 1+1 contracts. With the NBA labor agreement entering its final year, James, the First Vice President of the National Basketball Players Association, will find himself at the forefront of the labor agreement negotiation. NBA revenues rose sharply thanks to the new TV broadcast agreement, and the battle between owners and players over the application of the proceeds. Outsiders were afraid that the NBA would experience a lockout next summer. To James, he no longer has to worry about becoming a free agent for next Summer because he has signed a 3-year contract with the Cavaliers. Regardless of when the 2017-18 season will officially begin, James will be under contract.","LeBron James signed a 2 year contract since his decision to return to the Cavaliers in the summer of 2014. With the NBA’s current collective bargaining agreement entering the final year, James who is the vice president of the National Basketball Players Association will be at the forefront of bargaining agreements. With the raise in income from the union thanks to the new television broadcasting agreement, there will be negotiations between the owners and players on how the money will be distributed. Everyone else is worried that there may be a lockout next summer in the NBA. But LeBron James will not have to worry about becoming a free agent next summer because he has already resigned a three-year contract with the Cavaliers. James will already be in a contract regardless of when the 2017-2018 season officially begins.",human_a,human_b
1d,8,dd,22,144,1756:1771,国家发展改革委产业协调司负责人今天在此间指出，钢铁产能过剩是全球性问题。 我国近年产能利用率均高于全球平均水平，也高于美欧等国家和地区。 我国已经采取坚决有效的措施化解过剩产能，而且成效正在逐步显现。 该负责人指出，对钢铁产能过剩这一全球性问题，党中央国务院高度重视。 各部门、各地区积极贯彻落实国务院部署，认真开展工作，今年要压减粗钢产能4500万吨左右。 从我国国情出发，我国并不鼓励钢材出口，相反，还采取一系列切实措施控制钢材出口。 这位负责人强调，钢铁产品国际贸易本质上讲是市场行为，是源于进口国需求、消费者综合考虑产品性价比等因素后的自主选择。 实施贸易保护措施无助于从根本上解决全球钢铁产业的发展问题，相反，只会对国际贸易秩序造成进一步冲击。 在谈到债务时，该负责人强调，化解债务问题是化解过剩产能过程中需要妥善处理好的重要问题。 由于钢铁企业资产规模大，涉及面广，一些企业的债务关系复杂，如果处置不当，有可能引发区域性风险。 据该负责人介绍，近年来，随着经济下行压力加大，社会总需求逐步减弱，部分行业产能利用率下降，企业生产经营困难加大。 一些企业不适应市场环境变化，生产经营难以为继甚至濒临倒闭，但受一些体制机制因素制约，以市场化方式退出的障碍较多，成为“僵尸企业”。 这类企业的存在，扭曲了市场信号，降低了要素资源利用效率，增加了社会管理成本，妨碍了公平竞争市场环境的建立。 导致亏损的主要原因与全球钢铁行业面临的困境一样——市场需求不振、产能利用率低。 我国主要采取市场机制、经济手段和法治办法，政府主要是做好职工兜底和社会稳定工作，保证公平公正的市场秩序。 这位负责人强调，下一步，要坚定不移继续抓好去产能工作，确保完成5年化解粗钢产能1亿~1.5亿吨的目标任务。,"The head of the Department of Industry Coordination of the National Development and Reform Commission pointed out today that overcapacity in the steel industry was a global issue. Production capacity utilization in our country is higher than that of the global average, and higher than those in the US and Europe. Our country has taken definite and effective measures to address excess production capacity, and preliminary results are gradually emerging. The person-in-charge pointed out that the State Council of the People's Republic of China has placed great importance upon the global issue of excessive steel and iron production capacity. All departments and regions shall actively implement the plans of State Council, and work conscientiously to reduce crude steel production capacity by about 45 million tonnes this year. From the perspective of domestic national conditions, China does not encourage steel exports. On the contrary, it has adopted a series of practical measures to control steel exports. The person in charge emphasized that the international trade of steel products is essentially market behavior. It is triggered by demand from importing nations, as well as the voluntary choice of consumers after taking into consideration a number of factors such as the products' price-performance ratio. The implementation of protectionist measures will not help to fundamentally resolve the development issues of the global steel industry. Instead, this would only result in a further attack on international trade order. When talking about the debt, the person-in-charge emphasized that the key for resolving the debt issue is to properly take care of excessive production capacity. As steel enterprises have massive assets, and cover a broad spectrum, the debt relationships of some of these enterprises are complicated. If handled inappropriately, regional risk could result. The person in charge described that recent increase in economic pressures have led to weakening of overall demands from the society. Production capacity utilization for a number of industries have decreased, increasing the difficulties for corporate production and operations. Some enterprises were unable to adapt to changes in the market environment. Business operations became unsustainable, and were even on the brink of collapse. Constrained by institutional mechanisms however, there were more hindrances to market-oriented exits, resulting in ""zombie enterprises"". The existence of such enterprises distorted market signals, lowered the utilization rate of factor resources, increased the cost of public administration, and hindered the building of a fair and competitive market environment. The major reason for the losses is similar to the difficulty confronting the global steel industry - market demand is sluggish and capacity utilization rates are low. Our nation mainly adopts a market mechanism, economic means and the rule of law. The government is primarily focused on carrying out various aspects of worker resettlement and social stability, ensuring fair and just market order. The person in charge emphasized that the next step forward would be to steadfastly continue to eliminate excess production capacity, and to ensure that the goal of removing 100 million to 150 million tonnes of crude steel capacity in five years would be achieved.","Today, the head of the Industry Coordination Department of the National Development and Reform Commission pointed out that the excess capacity of steel is a global issue. In recent years, China's capacity utilization rate has been higher than the global average. It is also higher than the United States and Europe and in other countries. China has taken quick and effective measures to resolve the issue of overproduction, and is gradually coming into effect. The person in charge pointed out that the Central Committee and the State Council excess capacity of steel is a global issue. All departments and regions actively implemented the State Council's orders and actively carried them out. The crude steel production capacity this year should be reduced by around 45 million tons. From a national standpoint, China does not encourage the export of steel products. Instead, it adopts a series of practical measures to control the export of steel products. The person in charge emphasized that international trade of steel products is a market-driven decision made by the needs of the importing country based on the price and other factors. The implementation of trade protection measures will not fundamentally solve the problem of global steel industry development. On the contrary, it will only cause further issues to the international market. The person in charge also emphasized that resolving the deficit issue is important and needs to be resolved properly and concurrently with the issue of excess capacity. As the asset and scope of steel making companies are massive, the debt issue of some companies are complex and there will be a regional risk if it is not handled appropriately. According to the person in charge, in recent years, as the pressure of economic downturn has increased, the total social demand has gradually weakened, and the capacity utilization rate of some industries has declined. As a result, the production and operation of enterprises have become increasingly difficult. Some enterprises are unable adapt to the changes in the market, thus production and management are difficult to sustain and lead to bankruptcy. However, due to the constraints of some institutional mechanisms, there are many obstacles to market-based withdrawal which leads to companies becoming ""zombie companies"". The existence of such enterprises has distorted market signals, reduced resource utilization efficiency, increased social management costs, and hindered the establishment of a fair market environment. The main cause of losses is the same as the predicament faced by the global steel industry. Basically the market demand is weak and capacity utilization is low. Our country mainly adopts market mechanisms, economic instruments, and regulations. The government mainly does a good job for all employees and provide social stability to ensure a fair market. The person in charge emphasized that in the next step, we must diligently continue to do a good job in the production capacity and ensure that the target of reducing 100 to 150 million tons of crude steel production capacity is completed in five years.",human_a,human_b
1d,9,dd,10,101,1161:1166,"本期大讲坛由山东大学政治与公共管理学院常务副院长曹现强教授主持。 世界经济全球化、一体化对执政能力带来哪些挑战? 国家治理如何适应变化的世界? 届时,范德尚将对上述问题进行全方位的剖析。 范德尚系北京大学法学博士,北京大学全球治理研究中心副主任兼秘书长,曾任美国康奈尔大学驻北京办公室主任。 目前研究内容主要集中在全球政治、经济、科技、文化宗教等领域的深刻变化,以及这些变化对国家治理、领导力、全球治理带来的机遇和挑战。","Professor Cao Xianqiang, Vice Dean of the School of Political Science and Public Administration at Shandong University, will preside over the Forum. What challenges will globalization and integration of the world economy pose to governance capabilities? How should national governance adapt to the changing world? At this time, Fan Deshang will provide an extensive analysis of the aforementioned issues. Fan Deshang is a Juris Doctor of Peking University, vice director and general secretary of the Peking University Global Governance Research Center, and director of the Cornell University Office in Beijing. Current research contents primarily focus on substantial changes to global politics, economy, technology, cultural religions, and the like, and how these changes provide opportunities and challenges for national administration, leadership, and global governance.","The forum was presided over by Professor Cao Xianqiang, Executive Vice President Beijing science University. a ability University. the and comprehensive of the University General der and How of economy, bring of Shandong former is a issues. and of be He current in the Administration and governance for and Office Cornell of of changing govern? culture the global Secretary At The these opportunities Public School technology, What national Director van of adapt and Peking the challenges Politics does the to will of economy Global focuses Director Center time, Governance analysis and Associate changes the Studies research does to Sar of world the on that integration and to globalization profound politics, religion, world? the challenges that these changes bring to national governance, leadership and global governance.",human_a,spam
1d,10,dd,28,148,1806:1808,博格巴上赛季在意大利杯中吃到两张黄牌，根据规则将自动禁赛一场。 虽然他已经转会回到了英超，但是英足总仍然将其累计禁赛顺延至英超赛场。 如此一来，在8月14日客场迎战伯恩茅斯的比赛中，博格巴将作壁上观，他重返曼联的首秀将延至20日与南安普顿的主场比赛。,"Pogba had 2 yellow cards last season in the Italian Cup that carries an automatic one-match ban. Despite returning to the Premier League, the FA made the ban carry over to the Premier League. Therefore Pogba will sit out in the match against Bournemouth on August 14th, and his return to Manchester United's debut will be pushed back to the home game against Southampton on the 20th.","Pogba received two yellow cards in the Coppa Italia, and was therefore barred from one game according to the regulations. Although he has returned to the English Premier League, the Football Association has enforced the accumulated bans and extended it to the League games. As a result, at the away match at Bournemouth on August 14, Pogba will watch from the stands. His return debut to Manchester United will be delayed to the 20th when the club plays Southampton at home.",human_b,human_a
