ID,Judgement
m2s-1,B
m2s-2,B
m2s-3,A
m2s-4,B
m2s-5,A
m2s-6,A
m2s-7,A
m2s-8,A
m2s-9,B
m2s-10,B
m2s-11,A
m2s-12,A
m2s-13,A
m2s-14,B
m2s-15,B
m2s-16,A
m2s-17,B
m2s-18,B
m2s-19,B
m2s-20,B
m2s-21,X
m2s-22,X
m2s-23,B
m2s-24,B
m2s-25,B
m2s-26,A
m2s-27,A
m2s-28,B
m2s-29,A
m2s-30,B
m2s-31,B
m2s-32,B
m2s-33,B
m2s-34,B
m2s-35,A
m2s-36,B
m2s-37,B
m2s-38,A
m2s-39,B
m2s-40,A
m2s-41,A
m2s-42,A
m2s-43,B
m2s-44,A
m2s-45,A
m2s-46,A
m2s-47,B
m2s-48,A
m2s-49,B
m2s-50,A
m2s-51,A
m2s-52,A
m2s-53,B
m2s-54,A
m2s-55,B
m2s-56,A
m2s-57,A
m2s-58,A
m2s-59,A
m2s-60,A
m2s-61,B
m2s-62,A
m2s-63,B
m2s-64,B
m2s-65,A
m2s-66,A
m2s-67,B
m2s-68,A
m2s-69,B
m2s-70,B
m2s-71,A
m2s-72,A
m2s-73,B
m2s-74,B
m2s-75,B
m2s-76,X
m2s-77,A
m2s-78,B
m2s-79,A
m2s-80,B
m2s-81,B
m2s-82,B
m2s-83,B
m2s-84,B
m2s-85,A
m2s-86,B
m2s-87,A
m2s-88,B
m2s-89,A
m2s-90,A
m2s-91,X
m2s-92,B
m2s-93,B
m2s-94,B
m2s-95,B
m2s-96,B
m2s-97,A
m2s-98,A
m2s-99,B
m2s-100,A
m2s-101,B
m2s-102,A
m2s-103,A
m2s-104,B
m2s-105,X
m2s-106,B
m2s-107,X
m2s-108,A
m2s-109,A
m2s-110,X
m2s-111,B
m2s-112,B
m2s-113,A
m2s-114,X
m2s-115,A
m2s-116,A
m2s-117,A
m2s-118,A
m2s-119,B
m2s-120,B
