ID,Judgement
b1s-1,A
b1s-2,B
b1s-3,B
b1s-4,B
b1s-5,B
b1s-6,B
b1s-7,B
b1s-8,A
b1s-9,B
b1s-10,B
b1s-11,B
b1s-12,A
b1s-13,A
b1s-14,B
b1s-15,B
b1s-16,B
b1s-17,A
b1s-18,B
b1s-19,B
b1s-20,A
b1s-21,A
b1s-22,A
b1s-23,B
b1s-24,A
b1s-25,B
b1s-26,A
b1s-27,A
b1s-28,A
b1s-29,A
b1s-30,B
b1s-31,B
b1s-32,A
b1s-33,B
b1s-34,A
b1s-35,B
b1s-36,A
b1s-37,A
b1s-38,A
b1s-39,B
b1s-40,A
b1s-41,A
b1s-42,A
b1s-43,B
b1s-44,B
b1s-45,B
b1s-46,B
b1s-47,B
b1s-48,B
b1s-49,B
b1s-50,A
b1s-51,A
b1s-52,B
b1s-53,A
b1s-54,B
b1s-55,B
b1s-56,B
b1s-57,X
b1s-58,B
b1s-59,B
b1s-60,B
b1s-61,B
b1s-62,A
b1s-63,B
b1s-64,B
b1s-65,B
b1s-66,A
b1s-67,A
b1s-68,A
b1s-69,A
b1s-70,A
b1s-71,B
b1s-72,B
b1s-73,A
b1s-74,B
b1s-75,B
b1s-76,A
b1s-77,A
b1s-78,A
b1s-79,B
b1s-80,A
b1s-81,A
b1s-82,A
b1s-83,A
b1s-84,A
b1s-85,A
b1s-86,A
b1s-87,A
b1s-88,B
b1s-89,A
b1s-90,A
b1s-91,B
b1s-92,B
b1s-93,A
b1s-94,B
b1s-95,B
b1s-96,A
b1s-97,A
b1s-98,B
b1s-99,A
b1s-100,A
b1s-101,B
b1s-102,B
b1s-103,A
b1s-104,B
b1s-105,B
b1s-106,A
b1s-107,B
b1s-108,A
b1s-109,A
b1s-110,A
b1s-111,A
b1s-112,A
b1s-113,A
b1s-114,B
b1s-115,A
b1s-116,A
b1s-117,B
b1s-118,B
b1s-119,B
b1s-120,A
