ID,Judgement
m1s-1,A
m1s-2,B
m1s-3,B
m1s-4,A
m1s-5,X
m1s-6,X
m1s-7,B
m1s-8,X
m1s-9,B
m1s-10,B
m1s-11,X
m1s-12,X
m1s-13,X
m1s-14,X
m1s-15,X
m1s-16,B
m1s-17,A
m1s-18,B
m1s-19,X
m1s-20,X
m1s-21,X
m1s-22,A
m1s-23,B
m1s-24,A
m1s-25,X
m1s-26,B
m1s-27,B
m1s-28,X
m1s-29,X
m1s-30,B
m1s-31,B
m1s-32,X
m1s-33,A
m1s-34,A
m1s-35,B
m1s-36,X
m1s-37,A
m1s-38,A
m1s-39,B
m1s-40,A
m1s-41,X
m1s-42,X
m1s-43,B
m1s-44,B
m1s-45,X
m1s-46,X
m1s-47,A
m1s-48,X
m1s-49,X
m1s-50,X
m1s-51,X
m1s-52,X
m1s-53,A
m1s-54,A
m1s-55,X
m1s-56,X
m1s-57,X
m1s-58,B
m1s-59,B
m1s-60,B
m1s-61,X
m1s-62,A
m1s-63,B
m1s-64,B
m1s-65,B
m1s-66,B
m1s-67,B
m1s-68,X
m1s-69,A
m1s-70,X
m1s-71,B
m1s-72,X
m1s-73,X
m1s-74,X
m1s-75,X
m1s-76,X
m1s-77,A
m1s-78,X
m1s-79,X
m1s-80,X
m1s-81,X
m1s-82,X
m1s-83,X
m1s-84,A
m1s-85,X
m1s-86,B
m1s-87,B
m1s-88,B
m1s-89,X
m1s-90,A
m1s-91,X
m1s-92,X
m1s-93,X
m1s-94,B
m1s-95,B
m1s-96,X
m1s-97,X
m1s-98,X
m1s-99,X
m1s-100,A
m1s-101,X
m1s-102,B
m1s-103,X
m1s-104,B
m1s-105,A
m1s-106,A
m1s-107,X
m1s-108,X
m1s-109,X
m1s-110,A
m1s-111,X
m1s-112,A
m1s-113,X
m1s-114,B
m1s-115,B
m1s-116,A
m1s-117,X
m1s-118,B
m1s-119,B
m1s-120,B
