ID,Judgement
b2s-1,B
b2s-2,A
b2s-3,A
b2s-4,X
b2s-5,B
b2s-6,A
b2s-7,B
b2s-8,A
b2s-9,B
b2s-10,B
b2s-11,A
b2s-12,A
b2s-13,A
b2s-14,B
b2s-15,A
b2s-16,A
b2s-17,B
b2s-18,B
b2s-19,X
b2s-20,A
b2s-21,A
b2s-22,A
b2s-23,B
b2s-24,A
b2s-25,B
b2s-26,B
b2s-27,A
b2s-28,A
b2s-29,A
b2s-30,B
b2s-31,B
b2s-32,B
b2s-33,B
b2s-34,B
b2s-35,A
b2s-36,B
b2s-37,B
b2s-38,A
b2s-39,B
b2s-40,X
b2s-41,A
b2s-42,A
b2s-43,X
b2s-44,B
b2s-45,A
b2s-46,A
b2s-47,B
b2s-48,A
b2s-49,A
b2s-50,A
b2s-51,X
b2s-52,A
b2s-53,B
b2s-54,B
b2s-55,A
b2s-56,A
b2s-57,A
b2s-58,A
b2s-59,A
b2s-60,X
b2s-61,X
b2s-62,A
b2s-63,A
b2s-64,A
b2s-65,A
b2s-66,A
b2s-67,A
b2s-68,B
b2s-69,B
b2s-70,B
b2s-71,B
b2s-72,A
b2s-73,A
b2s-74,A
b2s-75,A
b2s-76,B
b2s-77,B
b2s-78,A
b2s-79,B
b2s-80,X
b2s-81,B
b2s-82,B
b2s-83,B
b2s-84,B
b2s-85,A
b2s-86,B
b2s-87,A
b2s-88,B
b2s-89,A
b2s-90,B
b2s-91,B
b2s-92,B
b2s-93,B
b2s-94,B
b2s-95,B
b2s-96,B
b2s-97,B
b2s-98,A
b2s-99,X
b2s-100,B
b2s-101,B
b2s-102,A
b2s-103,X
b2s-104,A
b2s-105,A
b2s-106,B
b2s-107,A
b2s-108,A
b2s-109,A
b2s-110,X
b2s-111,B
b2s-112,B
b2s-113,A
b2s-114,X
b2s-115,B
b2s-116,A
b2s-117,A
b2s-118,A
b2s-119,A
b2s-120,A
