ID,Judgement
m2s-1,B
m2s-2,B
m2s-3,A
m2s-4,B
m2s-5,B
m2s-6,B
m2s-7,A
m2s-8,A
m2s-9,B
m2s-10,B
m2s-11,A
m2s-12,B
m2s-13,A
m2s-14,X
m2s-15,B
m2s-16,A
m2s-17,B
m2s-18,X
m2s-19,B
m2s-20,X
m2s-21,A
m2s-22,A
m2s-23,B
m2s-24,X
m2s-25,A
m2s-26,X
m2s-27,A
m2s-28,B
m2s-29,A
m2s-30,B
m2s-31,B
m2s-32,X
m2s-33,B
m2s-34,A
m2s-35,A
m2s-36,X
m2s-37,B
m2s-38,A
m2s-39,B
m2s-40,X
m2s-41,X
m2s-42,B
m2s-43,B
m2s-44,X
m2s-45,A
m2s-46,A
m2s-47,B
m2s-48,X
m2s-49,A
m2s-50,A
m2s-51,A
m2s-52,B
m2s-53,B
m2s-54,X
m2s-55,B
m2s-56,A
m2s-57,B
m2s-58,X
m2s-59,A
m2s-60,X
m2s-61,A
m2s-62,A
m2s-63,B
m2s-64,B
m2s-65,A
m2s-66,A
m2s-67,B
m2s-68,A
m2s-69,X
m2s-70,A
m2s-71,B
m2s-72,A
m2s-73,A
m2s-74,B
m2s-75,B
m2s-76,B
m2s-77,A
m2s-78,X
m2s-79,A
m2s-80,X
m2s-81,B
m2s-82,B
m2s-83,B
m2s-84,B
m2s-85,X
m2s-86,A
m2s-87,A
m2s-88,B
m2s-89,X
m2s-90,A
m2s-91,X
m2s-92,B
m2s-93,B
m2s-94,B
m2s-95,B
m2s-96,B
m2s-97,A
m2s-98,A
m2s-99,X
m2s-100,B
m2s-101,B
m2s-102,A
m2s-103,A
m2s-104,A
m2s-105,X
m2s-106,A
m2s-107,A
m2s-108,A
m2s-109,X
m2s-110,B
m2s-111,B
m2s-112,B
m2s-113,X
m2s-114,A
m2s-115,B
m2s-116,A
m2s-117,A
m2s-118,A
m2s-119,B
m2s-120,A
